epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2223,1.60733,4.28767,1.91601,0.4471,0.50907,0.43894,0.2361,1.54047,2.68992,1.69938,0.000117111,0.000117111,0.000117111
2,56.8495,1.24498,2.66866,1.51217,0.60784,0.64639,0.74818,0.49377,1.33262,1.62901,1.57911,0.000224424,0.000224424,0.000224424
3,81.9524,1.21842,2.08987,1.45203,0.73204,0.87914,0.92558,0.36885,2.22205,1.39059,2.70751,0.000319955,0.000319955,0.000319955
4,105.483,1.18194,1.7809,1.43541,0.67864,0.84957,0.90366,0.57299,1.43807,1.14009,1.63946,0.000303986,0.000303986,0.000303986
5,128.071,1.12582,1.52963,1.39071,0.82111,0.87637,0.99028,0.61738,1.419,0.99212,1.63656,0.000286314,0.000286314,0.000286314
6,153.527,1.08143,1.38742,1.33834,0.86474,0.93414,0.99361,0.72591,1.06327,0.73305,1.33457,0.000268642,0.000268642,0.000268642
7,183.044,1.04569,1.28047,1.33744,0.92695,0.90121,0.995,0.67589,1.24923,0.66695,1.48297,0.000250971,0.000250971,0.000250971
8,210.681,1.02189,1.15543,1.30637,0.89609,0.95353,0.98806,0.63516,1.36058,0.70689,1.58657,0.000233299,0.000233299,0.000233299
9,235.949,1.00832,1.13544,1.29922,0.93211,0.97031,0.995,0.69051,1.14435,0.54915,1.39145,0.000215628,0.000215628,0.000215628
10,259.958,0.95857,1.02824,1.26213,0.928,0.96845,0.995,0.68747,1.19953,0.52422,1.41734,0.000197957,0.000197957,0.000197957
11,285.195,0.80846,0.66275,1.26331,0.93251,0.99573,0.995,0.76115,0.97918,0.47807,1.23839,0.000180285,0.000180285,0.000180285
12,309.746,0.77657,0.58641,1.2417,0.96462,0.97935,0.995,0.6577,1.33745,0.53935,1.56513,0.000162613,0.000162613,0.000162613
13,332.655,0.74086,0.53368,1.21236,0.93418,0.98618,0.995,0.75875,0.96365,0.44959,1.22086,0.000144942,0.000144942,0.000144942
14,358.427,0.70435,0.49037,1.18116,0.96989,0.99341,0.995,0.719,1.12622,0.46738,1.37529,0.000127271,0.000127271,0.000127271
15,381.338,0.68798,0.46604,1.15422,0.95945,0.98781,0.995,0.7311,1.12975,0.44666,1.35904,0.000109599,0.000109599,0.000109599
16,403.617,0.66248,0.4377,1.13565,0.96426,0.9869,0.995,0.74444,1.03566,0.42179,1.27185,9.19275e-05,9.19275e-05,9.19275e-05
17,430.521,0.64059,0.41722,1.12197,0.97629,1,0.995,0.75928,1.00714,0.38968,1.25254,7.4256e-05,7.4256e-05,7.4256e-05
18,452.747,0.60358,0.38452,1.08222,0.97339,0.99204,0.995,0.79423,0.86263,0.37141,1.15551,5.65845e-05,5.65845e-05,5.65845e-05
19,475.95,0.588,0.37146,1.07859,0.96969,1,0.995,0.77474,0.91611,0.36513,1.18298,3.8913e-05,3.8913e-05,3.8913e-05
20,500.56,0.5809,0.36313,1.05822,0.97473,0.99518,0.995,0.788,0.8939,0.35253,1.17315,2.12415e-05,2.12415e-05,2.12415e-05
